weathercode,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_min,apparent_temperature_max,apparent_temperature_mean,relative_humidity_2m_mean,sunshine_duration,shortwave_radiation_sum,uv_index_max,et0_fao_evapotranspiration,rain_sum,precipitation_hours,cloud_cover_min,cloud_cover_max,cloud_cover_mean,windspeed_10m_max,windgusts_10m_max,record_date
63,10.7,16.2,13.0,9.4,15.5,12.2,81,28099.96,16.74,6.7,2.53,9.2,5.0,7,99,40,11.1,33.8,2024-04-01
3,6.9,16.5,12.2,3.6,14.4,10.0,58,39600.0,20.95,6.75,3.38,0.0,0.0,0,100,34,10.9,34.9,2024-04-02
61,9.1,14.1,12.0,7.6,14.2,11.4,91,643.52,5.25,2.2,0.93,15.9,13.0,38,92,73,8.8,25.9,2024-04-03
63,10.8,16.7,13.5,9.6,17.0,13.2,87,5678.7,8.13,2.4,1.43,8.1,8.0,36,100,69,10.9,33.1,2024-04-04
51,9.1,13.6,10.4,6.2,11.6,8.2,74,0.0,2.1,0.95,0.81,1.0,6.0,68,100,92,10.9,28.1,2024-04-05
3,8.6,15.8,12.0,6.7,14.9,10.7,80,13112.02,11.04,4.2,1.81,0.0,0.0,37,100,71,9.1,25.9,2024-04-06
53,12.4,20.1,15.6,12.3,21.7,16.4,91,28983.21,16.28,6.45,2.66,1.6,5.0,2,100,63,6.0,16.6,2024-04-07
51,13.9,20.0,16.3,14.5,21.9,17.7,94,8707.84,8.29,5.25,1.55,0.4,2.0,45,100,88,5.0,17.6,2024-04-08
65,9.5,19.5,14.8,4.4,20.1,13.6,81,0.0,2.42,0.6,1.21,47.1,14.0,16,100,83,20.8,79.6,2024-04-09
3,7.0,14.9,11.0,2.9,13.3,7.7,48,41071.83,25.19,7.2,4.23,0.0,0.0,0,84,14,19.5,45.4,2024-04-10
3,6.9,17.1,12.5,4.7,16.7,11.2,70,39729.57,22.25,6.95,3.4,0.0,0.0,0,100,43,11.0,23.4,2024-04-11
51,10.9,16.5,13.6,10.0,15.5,12.8,82,12142.47,8.96,3.8,1.56,0.1,1.0,20,98,62,8.9,24.1,2024-04-12
