Date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,sunshine_duration
2024-04-01,16.8,10.2,16.3,7.6,5.4,5.4,0.0,8.0,21.3,32.8,15.17,2.52,63,28285.21
2024-04-02,17.1,6.0,14.2,1.4,0.0,0.0,0.0,0.0,23.6,36.4,20.25,3.44,3,39536.97
2024-04-03,15.1,9.0,14.5,7.5,13.3,13.3,0.0,13.0,15.9,22.7,6.21,1.16,61,1251.52
2024-04-04,17.6,11.4,17.2,8.4,9.1,9.1,0.0,5.0,24.3,36.0,7.39,1.52,63,5322.45
2024-04-05,12.7,9.7,10.9,5.8,3.9,3.9,0.0,11.0,21.9,33.1,5.0,1.32,61,0.0
2024-04-06,16.6,8.8,16.1,5.3,0.1,0.1,0.0,1.0,21.0,33.5,9.99,1.74,51,8477.89
2024-04-07,20.2,11.2,20.7,8.9,1.6,1.6,0.0,6.0,17.5,28.8,18.87,2.99,53,36238.32
2024-04-08,21.1,12.5,22.7,12.3,0.3,0.3,0.0,3.0,16.6,27.7,11.73,2.14,51,20357.48
2024-04-09,19.9,8.9,18.0,0.3,49.1,49.1,0.0,13.0,61.3,95.0,4.32,1.8,65,0.0
2024-04-10,15.1,5.3,12.8,-0.8,0.0,0.0,0.0,0.0,37.8,64.1,24.83,4.1,3,42437.84
2024-04-11,17.9,5.3,16.8,2.3,0.0,0.0,0.0,0.0,15.8,25.6,21.32,3.45,3,36397.12
2024-04-12,17.7,10.0,16.0,8.0,0.8,0.8,0.0,4.0,21.3,32.4,12.28,2.14,51,24089.32
2024-04-13,20.6,9.7,19.6,7.4,0.0,0.0,0.0,0.0,21.9,34.9,23.39,3.79,3,40839.38
2024-04-14,21.6,10.3,22.1,8.9,0.0,0.0,0.0,0.0,19.6,30.6,23.36,3.87,3,42487.7
2024-04-15,22.9,11.4,22.8,10.6,0.0,0.0,0.0,0.0,26.7,38.9,23.95,4.13,3,42965.25
2024-04-16,20.4,14.9,16.8,12.1,0.0,0.0,0.0,0.0,43.7,64.8,20.91,3.99,3,31782.84
2024-04-17,21.2,15.2,22.7,12.9,1.9,1.9,0.0,9.0,31.1,49.7,17.54,3.24,53,38375.12
2024-04-18,20.8,13.0,19.2,11.4,3.3,3.3,0.0,7.0,20.6,30.6,12.58,2.76,55,18680.26
2024-04-19,20.8,12.7,14.1,7.0,0.5,0.5,0.0,2.0,49.6,74.5,22.65,5.39,51,42725.18
2024-04-20,23.4,10.4,23.8,7.6,0.1,0.1,0.0,1.0,22.4,32.8,20.39,4.35,51,36749.18
2024-04-21,22.6,13.2,22.6,11.8,3.2,3.2,0.0,4.0,26.2,39.2,15.93,3.53,61,25103.75
2024-04-22,19.3,14.6,18.1,13.2,12.9,12.9,0.0,11.0,18.6,29.9,8.51,1.82,61,783.23
2024-04-23,19.7,13.5,18.4,12.6,0.1,0.1,0.0,1.0,20.2,29.5,11.17,2.37,51,14684.39
2024-04-24,16.9,14.4,15.0,12.6,10.4,10.4,0.0,18.0,24.0,35.6,5.54,1.43,61,0.0
2024-04-25,22.1,13.6,23.8,11.5,0.6,0.6,0.0,1.0,29.2,42.5,19.74,3.51,53,39684.03
2024-04-26,24.8,13.2,26.6,12.4,0.0,0.0,0.0,0.0,22.3,33.8,18.52,3.44,3,33380.36
2024-04-27,21.4,16.9,22.6,17.9,1.1,1.1,0.0,4.0,19.0,28.1,10.34,2.1,51,8350.41
2024-04-28,25.4,13.9,27.0,14.2,0.0,0.0,0.0,0.0,32.1,47.9,25.52,4.65,3,42406.15
2024-04-29,23.2,15.7,23.4,16.1,0.0,0.0,0.0,0.0,35.3,53.6,19.82,3.66,3,30522.64
2024-04-30,24.0,17.6,26.3,17.6,0.0,0.0,0.0,0.0,22.9,34.9,11.07,2.36,3,14194.07
2024-05-01,19.5,12.9,22.0,10.0,35.5,35.5,0.0,18.0,28.5,43.9,3.93,1.14,63,0.0
2024-05-02,19.4,11.6,17.3,7.9,6.3,6.3,0.0,7.0,27.2,45.0,20.46,3.82,61,39106.02
2024-05-03,21.5,9.6,20.4,7.9,0.0,0.0,0.0,0.0,28.7,41.4,26.71,4.67,0,46042.28
2024-05-04,25.7,12.4,25.9,11.4,0.0,0.0,0.0,0.0,23.8,36.0,26.55,5.05,0,46101.52
2024-05-05,24.3,14.6,23.9,14.0,0.0,0.0,0.0,0.0,36.9,55.4,26.88,5.15,3,46159.52
2024-05-06,21.7,18.2,17.9,14.6,0.0,0.0,0.0,0.0,43.1,60.1,10.43,3.35,3,17264.84
2024-05-07,21.0,18.7,21.0,16.2,14.3,14.3,0.0,15.0,51.8,76.7,5.76,1.76,63,2613.38
2024-05-08,23.2,12.7,23.6,9.7,19.5,19.5,0.0,16.0,26.6,41.4,16.03,3.17,65,26927.61
2024-05-09,17.4,10.5,14.3,6.9,2.3,2.3,0.0,8.0,21.6,33.5,14.44,2.71,55,21866.27
2024-05-10,21.3,7.3,18.3,4.8,0.0,0.0,0.0,0.0,35.3,52.2,27.69,5.31,3,46428.79
2024-05-11,22.7,12.2,19.6,11.2,0.0,0.0,0.0,0.0,44.7,66.6,27.57,5.1,3,46478.01
2024-05-12,22.6,17.1,19.8,13.7,0.3,0.3,0.0,1.0,37.2,55.4,15.43,3.87,51,24337.56
2024-05-13,21.7,16.2,21.8,15.9,44.7,44.7,0.0,20.0,48.3,73.4,3.4,1.21,65,0.0
2024-05-14,20.5,14.1,18.9,12.3,0.0,0.0,0.0,0.0,21.3,35.3,22.49,3.96,3,35574.04
